Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[26]     5.5    0.10    0.04  725458         Obj3D_ObjCollideBoxP [26]
                0.04    0.00 2176374/3272105     ObjSK_GetSlot [34]
-----------------------------------------------
                0.00    0.00     171/2157739     Obj3D_Texture [24]
                0.08    0.00 2157568/2157739     Obj3D_MapST [21]
[27]     3.3    0.08    0.00 2157739         vecz [27]
-----------------------------------------------
                0.00    0.00      60/3010767     GfxApi_Texture [70]
                0.00    0.00     164/3010767     GfxApi_FontSize [89]
                0.00    0.00     164/3010767     GfxApi_Translate [90]
                0.00    0.00    1676/3010767     GfxApi_FillSquare [79]
                0.00    0.00    1840/3010767     GfxApi_FontSize2 [83]
                0.00    0.00    1840/3010767     GfxApi_TextColor [78]
                0.00    0.00    2004/3010767     GfxApi_SetFont [80]
                0.00    0.00    3722/3010767     GfxApi_Translate3 [84]
                0.00    0.00    3722/3010767     GfxApi_Perspective [69]
                0.00    0.00    3887/3010767     GfxApi_BeginDrawing [87]
                0.00    0.00    3887/3010767     GfxApi_EndDrawing [88]
                0.00    0.00    5727/3010767     GfxApi_SetRange [74]
                0.00    0.00    7444/3010767     GfxApi_Rotate3 [68]
                0.00    0.00   13130/3010767     GfxApi_Color [77]
                0.00    0.00   27350/3010767     GfxApi_PushMatrix [82]
                0.00    0.00   27350/3010767     GfxApi_PopMatrix [81]
                0.00    0.00   43904/3010767     GfxApi_TransformMatrixd [49]
                0.00    0.00   52120/3010767     GfxApi_MoveTo [58]
                0.00    0.00   52120/3010767     GfxApi_Show [50]
                0.00    0.00  112640/3010767     GfxApi_Vec3 [57]
                0.00    0.00  112640/3010767     GfxApi_TexCoord2 [59]
                0.00    0.00  112640/3010767     GfxApi_Point [76]
                0.02    0.00  605184/3010767     GfxApi_Begin [47]
                0.02    0.00  605184/3010767     GfxApi_End [48]
                0.02    0.00  605184/3010767     GfxApi_BindTex [42]
                0.02    0.00  605184/3010767     GfxApi_UnbindTex [51]
[28]     3.1    0.07    0.00 3010767         GfxApi_WriteOpcode [28]
-----------------------------------------------
                0.00    0.07    6272/6272        Prim_RenderPrimative [10]
[29]     2.9    0.00    0.07    6272         Prim_RenderCylinder [29]
                0.02    0.03  401408/2232832     Obj3D_Point [13]
                0.00    0.01  100352/586368      Obj3D_BindTexture [33]
                0.00    0.00  100352/605184      GfxApi_Begin [47]
                0.00    0.00  100352/605184      GfxApi_End [48]
                0.00    0.00  100352/586368      Obj3D_SelectTexture [54]
                0.00    0.00  100352/605184      GfxApi_UnbindTex [51]
-----------------------------------------------
                0.02    0.05   28160/28160       Obj3D_RenderObj <cycle 1> [9]
[30]     2.9    0.02    0.05   28160         Obj3D_RenderSprite [30]
                0.01    0.01  112640/112640      GfxApi_Vec3 [57]
                0.01    0.01  112640/112640      GfxApi_TexCoord2 [59]
                0.01    0.00   28160/43840       Obj3D_PushTexture [63]
                0.00    0.00  112640/112640      GfxApi_Point [76]
                0.00    0.00   28160/586368      Obj3D_BindTexture [33]
                0.00    0.00   28160/605184      GfxApi_Begin [47]
                0.00    0.00   28160/605184      GfxApi_End [48]
                0.00    0.00   28160/586368      Obj3D_SelectTexture [54]
                0.00    0.00   28160/605184      GfxApi_UnbindTex [51]
                0.00    0.00   28160/43840       Obj3D_PopTexture [99]
-----------------------------------------------
                0.01    0.00  586368/2819200     Obj3D_BindTexture [33]
                0.05    0.00 2232832/2819200     Obj3D_MapST [21]
[31]     2.5    0.06    0.00 2819200         ELEM_OBJTYPEPi [31]
-----------------------------------------------
                                                 <spontaneous>
[32]     2.5    0.02    0.04                 Obj3D_ApplySpr [32]
                0.04    0.00   75222/75222       Obj3D_SpriteOpts <cycle 2> [39]
-----------------------------------------------
                0.00    0.00   28160/586368      Obj3D_RenderSprite [30]
                0.00    0.00   56448/586368      Prim_RenderCube [35]
                0.00    0.01  100352/586368      Prim_RenderCylinder [29]
                0.01    0.03  401408/586368      Prim_RenderSphere [11]
[33]     2.4    0.01    0.05  586368         Obj3D_BindTexture [33]
                0.01    0.02  586368/605184      GfxApi_BindTex [42]
                0.01    0.00  586368/2819200     ELEM_OBJTYPEPi [31]
-----------------------------------------------
                0.00    0.00    9408/3272105     Obj3D_MoveObj [60]
                0.00    0.00   12544/3272105     Render3D_Frame [6]
                0.00    0.00   21582/3272105     Obj3D_ObjBoxSlidePlane [85]
                0.00    0.00   43262/3272105     Obj3D_MoveInner [17]
                0.00    0.00  231680/3272105     Obj3D_DoMove [19]
                0.01    0.00  777255/3272105     Obj3D_CheckBlocked [18]
